NodeID,LongName,LayerOrdinal,Layer,Critically,Desirability,DisplayWeight,Business Area,Business Function,non-Markets
Node098,Node098,2,Application,Platinum,RED,2,BA06,BF19,
Node099,Node099,4,Channel,Silver,GREEN,1,BA09,BF09,
Node100,Node100,2,Application,Bronze,AMBER,1,BA01,BF01,1
Node101,Node101,2,Application,Bronze,AMBER,1,BA01,BF48,1
Node102,Node102,4,Channel,Silver,GREEN,1,BA02,BF31,
Node103,Node103,2,Application,Gold,GREEN,2,BA04,BF18,
Node104,Node104,4,Channel,Gold,GREEN,1,BA03,BF13,1
Node105,Node105,3,Service,Platinum,AMBER,1,BA15,BF49,1
Node106,Node106,3,Service,Platinum,GREEN,1,BA03,BF13,1
Node107,Node107,2,Application,Silver,GREEN,1,BA03,BF04,
Node108,Node108,2,Application,Tin,RED,1,BA03,BF04,
Node109,Node109,2,Application,Silver,AMBER,1,BA17,BF50,1
Node110,Node110,2,Application,Tin,AMBER,1,BA08,BF19,
Node111,Node111,2,Application,Silver,AMBER,1,BA01,BF48,
Node112,Node112,2,Application,Silver,AMBER,1,BA03,BF17,
Node113,Node113,2,Application,Silver,AMBER,1,BA10,BF51,1
Node114,Node114,4,Channel,Gold,GREEN,1,BA03,BF13,
Node115,Node115,3,Service,Silver,GREEN,1,BA02,BF02,
Node116,Node116,4,Channel,Silver,GREEN,1,BA02,BF05,
Node117,Node117,4,Channel,Silver,GREEN,1,BA02,BF27,
Node118,Node118,1,Data & Integration,Silver,GREEN,2,BA13,BF52,
Node119,Node119,2,Application,Bronze,RED,1,BA03,BF26,
Node120,Node120,2,Application,tin,RED,1,BA02,BF05,
Node121,Node121,4,Channel,Tin,GREEN,1,BA03,BF13,
Node122,Node122,2,Application,Silver,GREEN,2,BA03,BF17,1
Node123,Node123,2,Application,Platinum,GREEN,3,BA04,BF53,
Node124,Node124,2,Application,Gold,AMBER,1,BA09,BF23,
Node125,Node125,2,Application,Silver,AMBER,1,BA03,BF54,
Node126,Node126,4,Channel,Bronze,AMBER,1,BA03,BF13,
Node127,Node127,2,Application,Silver,RED,1,BA06,BF23,
Node128,Node128,4,Channel,Silver,AMBER,1,BA03,BF13,
Node129,Node129,2,Application,Bronze,GREEN,1,BA03,BF55,1
Node130,Node130,1,Data & Integration,Tin,RED,1,BA03,BF26,
Node131,Node131,3,Service,Silver,GREEN,2,BA13,BF56,
Node132,Node132,2,Application,Bronze,GREEN,1,BA03,BF55,1
Node133,Node133,4,Channel,Silver,GREEN,1,BA08,BF08,
Node134,Node134,3,Service,Platinum,GREEN,1,BA18,BF57,1
Node135,Node135,1,Data & Integration,Gold,GREEN,1,BA08,BF58,
Node136,Node136,2,Application,Silver,GREEN,1,BA08,BF18,1
Node137,Node137,4,Channel,Silver,GREEN,1,BA02,BF08,
Node138,Node138,3,Service,Silver,GREEN,1,BA02,BF18,
Node139,Node139,4,Channel,Silver,RED,1,BA10,BF59,1
Node140,Node140,4,Channel,Silver,GREEN,1,BA03,BF26,
Node141,Node141,2,Application,Gold,GREEN,1,BA03,BF26,
Node142,Node142,4,Channel,Silver,GREEN,1,BA19,BF60,
Node143,Node143,4,Channel,Gold,RED,1,BA03,BF13,1
Node144,Node144,4,Channel,Silver,GREEN,1,BA04,BF61,
Node145,Node145,2,Application,Tin,RED,1,BA08,BF53,
Node146,Node146,4,Channel,Gold,GREEN,1,BA02,BF27,
Node147,Node147,1,Data & Integration,Gold,AMBER,1,BA13,BF02,
Node148,Node148,3,Service,Tin,RED,1,BA08,BF53,
Node149,Node149,4,Channel,Platinum,RED,1,BA09,BF15,1
Node150,Node150,4,Channel,Silver,GREEN,1,BA09,BF09,
Node151,Node151,2,Application,Platinum,GREEN,3,BA20,BF62,
Node152,Node152,4,Channel,Silver,GREEN,1,BA02,BF27,
Node153,Node153,3,Service,Silver,GREEN,1,BA20,BF63,
Node154,Node154,2,Application,Silver,GREEN,1,BA20,BF63,
Node155,Node155,2,Application,Not Rated,Undefined,1,BA04,BF64,
Node156,Node156,1,Data & Integration,Gold,GREEN,2,BA13,BF12,
Node157,Node157,2,Application,Not Rated,GREEN,3,BA20,BF65,
Node158,Node158,2,Application,Platinum,GREEN,3,BA06,BF66,
Node159,Node159,2,Application,Silver,GREEN,2,BA03,BF18,
Node160,Node160,2,Application,Tin,GREEN,1,BA04,BF67,
Node161,Node161,1,Data & Integration,Gold,AMBER,1,BA13,BF48,
Node162,Node162,2,Application,Silver,GREEN,2,BA04,BF24,
Node163,Node163,2,Application,Silver,GREEN,2,BA04,BF24,
Node164,Node164,1,Data & Integration,Platinum,GREEN,2,BA13,BF18,1
Node165,Node165,1,Data & Integration,Bronze,RED,1,BA20,BF45,
Node166,Node166,2,Application,Silver,GREEN,1,BA13,BF18,
Node167,Node167,4,Channel,Silver,GREEN,1,BA16,BF68,
Node168,Node168,2,Application,Silver,RED,1,BA16,BF18,
Node169,Node169,4,Channel,Silver,GREEN,1,BA03,BF69,
Node170,Node170,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node171,Node171,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node172,Node172,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node173,Node173,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node174,Node174,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node175,Node175,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node176,Node176,4,Channel,Silver,GREEN,1,BA03,BF69,1
Node177,Node177,4,Channel,Silver,GREEN,1,BA03,BF69,1
