Source,Target,Direction,Data,Frequency,Type
Node084,Node087,1,Markets Data,Intraday,API
Node133,Node088,1,"Sales Margin, Markets Data",Intraday,API
Node086,Node143,2,"Collateral balances, Confirmation & Matching",Intraday,API
Node087,Node063,2,Totem,EOD,API
Node087,Node143,2,"Trades, FX Vega, Delta, trade reference",Intraday,MSG
Node087,Node140,1,Application Log,Intraday,API
Node087,Node093,2,Trade Confirmation,Intraday,MSG
Node088,Node002,2,Credit Check,Intraday,API
Node088,Node128,2,"Price, Execution",Intraday,API
Node088,Node016,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node088,Node025,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node088,Node034,1,SPDEE Sales Trade (Spot),Intraday,MSG
Node088,Node085,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node088,Node133,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node088,Node091,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node088,Node097,1,ANZ Prices,Intraday,MSG
Node085,Node088,1,"Sales, Orders, Trades",Intraday,API
Node090,Node143,2,Trades,Intraday,MSG
Node090,Node093,1,Structured deals,Intraday,MSG
Node089,Node034,1,MFX Deals,Intraday,MSG
Node091,Node128,1,RFS,Intraday,MSG
Node092,Node143,1,"Confirmation, Matching",Intraday,MSG
Node093,Node110,1,"Case, alerts, status",Intraday,API
Node093,Node112,1,Customer Data,Intraday,MSG
Node093,Node134,2,Legal Agreement,Intraday,MSG
Node093,Node143,2,Trades,Intraday,MSG
Node093,Node147,1,"Routed Executions, Trades",Intraday,MSG
Node094,Node143,1,"Confirmation, Matching",Intraday,MSG
Node096,Node114,2,CLS Pay In/Out + notifications,EOD,Batch
Node097,Node002,1,ANZ Prices,Intraday,API
Node097,Node131,1,IDN feed,Intraday,MSG
Node098,Node143,1,Reconciliation ,EOD,Batch
Node093,Node106,1,Trades,Intraday,MSG
Node091,Node088,1,"Sales, Orders, Trades",Intraday,API
Node095,Node093,1,Market Data,EOD,Batch
Node099,Node093,1,Market Data,EOD,Batch
Node101,Node039,1,"FX, MM",Intraday,MSG
Node103,Node058,2,REQ,Intraday,API
Node104,Node044,1,FX Quote,Intraday,MSG
Node105,Node147,1,"Voice Trade manual entry for risk, Manual trade entry for risk and after cleared",Intraday,API
Node105,Node093,1,Market Data,EOD,Batch
Node129,Node110,1,Scenarios Management,EOD,Batch
Node129,Node075,1,SWIFT Messages,Intraday,MSG
Node105,Node093,1,STP VCON (affirmation),Intraday,API
Node106,Node147,1,Trades,Intraday,MSG
Node108,Node093,1,Routed Executions,Intraday,MSG
Node109,Node147,1,Trades,Intraday,MSG
